ticker,company_name,company_name_jp,sector,industry,country,website,business_summary,employees,market_cap,currency,exchange,current_price,previous_close,method,datadate
9997,"Belluna Co., Ltd.",BELLUNA CO,Consumer Cyclical,Specialty Retail,Japan,https://www.belluna.co.jp,"It operates through eight segments: Apparel and Miscellaneous Goods Business, Cosmetics and Health Food Business, Gourmet Business, Nursing-related Business, Database Utilization Business, Kimono-related Business, Property Business, and Other Business. The Apparel and Miscellaneous Goods Business segment provides clothing, household and lifestyle goods, furniture, and personal and hobby goods through catalogs, internet, and other media, as well as engages in apparel and miscellaneous goods business. The Cosmetics and Health Food Business segment sells cosmetics and health foods. The Gourmet Business segment engages in the sale of food, sake, wine, etc. The Nursing-related Business segment operates mail-order business for nurses, and nurse recruiting business. The Database Utilization Business segment involved in contracted business, such as enclosure and delivery, and mail order proxy services; financing business mainly for mail order customers; and logistics. The Kimono-related Business segments sells and rents Japanese clothing related products. The Property Business segment engages in the hotel accommodation services and associated services; real estate rental and revitalization/development; power generation; restaurant businesses; and golf course management. The Other segment is involved in the wholesale business of clothing. Belluna Co., Ltd. was incorporated in 1947 and is headquartered in Ageo, Japan.",3884.0,97478295552.0,JPY,JPX,1013.0,1017.0,yfinance,2025-10-24
9996,"Satoh & Co., Ltd.",SATOH & CO LTD,Consumer Defensive,Food Distribution,Japan,https://www.satoh-web.co.jp,"Satoh & Co., Ltd. sells commercial food products in Japan. It operates through two segments, Wholesale Division and Retail Division. The company offers confectionery and bakery products; school and industrial lunch, food, lunch boxes, and business and medical catering materials; and other food dishes through retail stores, as well as provides logistics services. The company was founded in 1945 and is headquartered in Sendai, Japan.",696.0,16655407104.0,JPY,JPX,1997.0,2015.0,yfinance,2025-10-24
9994,Yamaya Corporation,YAMAYA CORPORATION,Consumer Defensive,Beverages - Brewers,Japan,https://www.yamaya.jp,"Yamaya Corporation engages in the import, retail, and wholesale of alcoholic beverages and food products in Japan. It is also involved in the mail order sales and restaurant businesses. The company was founded in 1952 and is based in Sendai, Japan.",1792.0,25184673792.0,JPY,JPX,2323.0,2333.0,yfinance,2025-10-24
9993,"Yamazawa Co., Ltd.",YAMAZAWA CO LTD,Consumer Defensive,Grocery Stores,Japan,https://www.yamazawa.co.jp,"Yamazawa Co., Ltd. engages in the retail business in Japan. The company primarily operates food supermarkets. It also operates drug stores; and manufacture and supplies milk, tofu, natto, noodles, rice, and sugar beet products. Yamazawa Co., Ltd. was founded in 1962 and is based in Yamagata, Japan.",1268.0,12624118784.0,JPY,JPX,1170.0,1173.0,yfinance,2025-10-24
9991,Gecoss Corporation,GECOSS CORPORATION,Industrials,Rental & Leasing Services,Japan,https://www.gecoss.co.jp,"Gecoss Corporation rents and sells construction machinery and steel products in Japan. The company is involved in the rental and sale of temporary construction materials, such as H-shaped steel, steel sheet piles, iron plates, covering plates, and earth retaining materials. It also design, manufactures and sells erection and demolition work of mountain retaining and gantry, pile driving and pulling work, and obstacle removal work; rents, sells, and manufactures temporary bridges, station building platforms, stairs, shield mounts, road bridges, and bridge fall prevention hardware; rents cars; and rents construction equipment, such as aerial work platforms, backhoe, generators, light temporary construction and unmanned construction robot. In addition, the company undertakes design and construction of pile punching work, erection and demolition, soil cement column wall construction, etc. Further, it provides planning and design, and technical support services for temporary construction works. The company was incorporated in 1946 and is headquartered in Tokyo, Japan.",1379.0,48043442176.0,JPY,JPX,1428.0,1410.0,yfinance,2025-10-24
9990,Sac's Bar Holdings Inc.,SACS BAR HOLDINGS INC,Consumer Cyclical,Luxury Goods,Japan,https://www.sacs-bar.co.jp,"Sac's Bar Holdings Inc. engages in the retail sale of bags, fashion goods, and related accessories in Japan. It is also involved in the design, manufacture, wholesale, and retail of luggage and bags, including travel, business, and casual bags for men, as well as the provision of repair services; and wallets and accessories for men. The company operates specialty stores of bags and other fashion goods under the SAC'S BAR, GRAN SAC'S, kissora, efffy, and Beau Atout names; and accessory shops under the Tees Cees and Banana names. It operates approximately 600 stores. The company was formerly known as Tokyo Derica Co., Ltd. and changed its name to Sac's Bar Holdings Inc. in October 2014. The company was incorporated in 1974 and is based in Tokyo, Japan.",582.0,23157739520.0,JPY,JPX,797.0,799.0,yfinance,2025-10-24
9989,"Sundrug Co.,Ltd.",SUNDRUG CO LTD,Healthcare,Pharmaceutical Retailers,Japan,https://www.sundrug.co.jp,"Sundrug Co.,Ltd. engages in the drug store business in Japan. It operates through Drug Store Business and Discount Store Business segments. The Drug Store Business segment primarily sells pharmaceutical products, cosmetics, and daily necessities. The Discount Store Business segment offers food and household goods. The company was incorporated in 1957 and is headquartered in Fuchu, Japan.",7145.0,493485162496.0,JPY,JPX,4219.0,4233.0,yfinance,2025-10-24
9987,"Suzuken Co., Ltd.",SUZUKEN CO LTD,Healthcare,Medical Distribution,Japan,https://www.suzuken.co.jp,"Suzuken Co., Ltd., together with its subsidiaries, primarily engages in the distribution of pharmaceuticals in Japan and internationally. The company operates in four segments: Pharmaceutical Distribution, Healthcare Product Development, Community Healthcare and Nursing Care Support, and Healthcare Related Services. The Pharmaceutical Distribution Business segment purchases ethical drugs, diagnostic agents, medical equipment, medical materials, and medical food products, as well as pharmaceutical and medical equipment manufacturers, and supplies medical institutions, and insurance pharmacies. The Healthcare Product Development segment offers ethical drugs, diagnostic reagents, and medical devices and materials. The Community Healthcare and Nursing Care Support segment provides a range of pharmacy and nursing care services. The Healthcare Related Services segment offers contract distribution for manufacturers and contract distribution of orphan drugs. Suzuken Co., Ltd. was founded in 1932 and is headquartered in Nagoya, Japan.",12923.0,411592097792.0,JPY,JPX,5888.0,5898.0,yfinance,2025-10-24
9986,"ZAOH Company, Ltd.",ZAOH CO LTD,Industrials,Industrial Distribution,Japan,https://www.zaohnet.co.jp,"ZAOH Company, Ltd. imports and sells machines for anti-pollution and cleaning in Japan. Its products include sweepers; vacuum, steam, carpet, and high-pressure cleaners; floor and carpet scrubbers, alkali ionized machines, and other products. The company is also involved in the sale of machines and devices for construction, manufacturing, measurement, and transportation; and metalworking oils and related products. The company was incorporated in 1956 and is headquartered in Tokyo, Japan.",199.0,13464327168.0,JPY,JPX,2478.0,2471.0,yfinance,2025-10-24
9984,SoftBank Group Corp.,SOFTBANK GROUP CORP,Communication Services,Telecom Services,Japan,https://group.softbank,"SoftBank Group Corp. provides telecommunication services in Japan and internationally. It operates through Investment Business of Holding Companies, SoftBank Vision Funds, SoftBank, Arm, and Other segments. The company offers mobile communications and solutions to enterprise customers, and broadband services to retail customers; and sells mobile devices and software tools, as well as related services. It also provides online advertising and e-commerce services; payment and financial services; information and communication technology services products to enterprise customers; and communication device-related products and Internet of Things equipment to retail customers. In addition, the company engages in the design of microprocessor intellectual property and related technology; alternative investment management; ownership of professional baseball team; operation of baseball games; management and maintenance of baseball stadium and other sports facilities; and distribution of video, voice, and data content via media businesses. Further, it is involved in the certification services, security solutions, and Linux/OSS businesses; operation of comprehensive IT information site ITmedia; internet advertising agency business; sale of indirect materials, such as consumable supplies; facility management; operation of StoreMatch, an online advertising distribution service; planning and operation of fashion e-commerce website; operational support of brands' own e-commerce website; operation of fashion coordination app; banking; mail order sale of stationery and services; and provision of autonomous forklifts. The company was formerly known as SoftBank Corp. and changed its name to SoftBank Group Corp. in July 2015. SoftBank Group Corp. was incorporated in 1981 and is headquartered in Tokyo, Japan.",67229.0,33363907837952.0,JPY,JPX,23420.0,22595.0,yfinance,2025-10-24
9983,"Fast Retailing Co., Ltd.",FAST RETAILING CO LTD,Consumer Cyclical,Apparel Retail,Japan,https://www.fastretailing.com,"Fast Retailing Co., Ltd. operates as an apparel designer and retailer in Japan and internationally. The company operates through UNIQLO Japan, UNIQLO International, GU, and Global Brands segments. It manufactures and retails clothing for men, women, children, and babies, as well as offers shoes and other goods and items. The company operates stores and franchises under the UNIQLO, GU, PLST, Theory, COMPTOIR DES COTONNIERS, J Brand, and PRINCESSE TAM.TAM brand names. It sells its products through online; and provides real estate leasing services. The company was formerly known as Ogori Shoji Co., Ltd. and changed its name to Fast Retailing Co., Ltd. in September 1991. The company was founded in 1949 and is headquartered in Yamaguchi, Japan.",,17049941180416.0,JPY,JPX,55570.0,55350.0,yfinance,2025-10-24
9982,"Takihyo Co., Ltd.",TAKIHYO CO LTD,Consumer Cyclical,Apparel Manufacturing,Japan,https://www.takihyo.co.jp,"Takihyo Co., Ltd. engages in the apparel, retail, textile, lifestyle, real estate, and material businesses in Japan and internationally. The company plans, designs, produces, markets, and ships ladies', babies/kids, men's, and home wear. It also operates the sportswear brand ZOY, the men's wear brand BOB, and the G/FORE and WAAC brands for golf gloves, shoes, accessories, and apparel; operates a boutique under the Melangetop brand name; and produces and sells woolen fabric, synthetic cotton blends, and knits to apparel manufacturers and trading companies. In addition, the company offers natural cosmetics products under L'ERBOLARIO brand; operates Komeda Coffee Shop as a franchisee; and rents and manages real estate properties. Further, it provides packaging films; synthetic resins for automobile, electronic equipment, electric appliances, and space and aviation instruments, as well as for food packaging materials and daily necessities items; and industrial materials to process interior furniture, miscellaneous goods, and building materials. Takihyo Co., Ltd. was founded in 1751 and is based in Nagoya, Japan.",703.0,16981141504.0,JPY,JPX,1962.0,1968.0,yfinance,2025-10-24
9980,MRK Holdings Inc.,MRK HOLDINGS INC,Consumer Cyclical,Apparel Manufacturing,Japan,https://www.mrkholdings.co.jp,"MRK Holdings Inc. engages in the maternity and baby related business in Japan. The company offers maternity wear, nursing clothes, maternity innerwear, baby wear, and baby gifts. It is also involved in the body makeup, beauty, and wedding and banquet related businesses. The company was formerly known as Maruko Co., Ltd. and changed its name to MRK Holdings Inc. in October 2018. MRK Holdings Inc. was incorporated in 1978 and is headquartered in Osaka, Japan. MRK Holdings Inc. operates as a subsidiary of RIZAP GROUP, Inc.",1846.0,8953194496.0,JPY,JPX,91.0,92.0,yfinance,2025-10-24
9979,Daisyo Corporation,DAISYO CORP,Consumer Cyclical,Restaurants,Japan,https://www.daisyo.co.jp,"Daisyo Corporation engages in the food and beverages business in Japan. It operates a restaurant chain under Shoya and Osho Suisan brand names; and offers logistics services. The company also provides operational support; distributes food ingredients to franchise stores and restaurants. In addition, it rents and manages real estate, such as building tenants and subleases rented store properties, as well as provides pest control and sterilization services for restaurants, etc. Further, the company manufactures and sells bread under Miyabi brand; and sells tableware and cooking supplies. Daisyo Corporation was founded in 1968 and is based in Tokyo, Japan.",,23251462144.0,JPY,JPX,1108.0,1111.0,yfinance,2025-10-24
9978,"Bunkyodo Group Holdings Co., Ltd.",BUNKYODO GROUP HOLDINGS CO LTD,Consumer Cyclical,Specialty Retail,Japan,https://www.bunkyodo.co.jp,"Bunkyodo Group Holdings Co., Ltd. operates various wholesale and retail stores in Japan. The company's stores offer books, magazines, textbooks, stationery, miscellaneous goods, hobby products, etc. It is also involved in the provision of government services, such as war strategy and guidance, as well as education services comprising programming classes and learning support services. The company was founded in 1891 and is headquartered in Kawasaki, Japan.",,2103453312.0,JPY,JPX,48.0,48.0,yfinance,2025-10-24
9976,"Sekichu Co., Ltd.",SEKICHU CO LTD,Consumer Cyclical,Home Improvement Retail,Japan,https://www.sekichu.co.jp,"Sekichu Co., Ltd. operates home improvement stores. It also operates car supplies and bicycle specialty stores. The company was formerly known as Sekiguchi Mokuzai Co., Ltd. and changed its name to Sekichu Co., Ltd. in July 1977. Sekichu Co., Ltd. was incorporated in 1952 and is based in Takasaki, Japan.",616.0,5622355968.0,JPY,JPX,1030.0,1022.0,yfinance,2025-10-24
9974,"Belc CO., LTD.",BELC CO LTD,Consumer Defensive,Grocery Stores,Japan,https://www.belc.jp,"Belc CO., LTD. manages a chain of food supermarkets in Japan. The company offers meat products, seafood products, fruit and vegetable processed products, eggs and dairy products, processed and frozen food products, Japanese and kneaded products, side dishes/breads, sweets and desserts, and other goods, as well as beverages and alcohol. Belc CO., LTD. was incorporated in 1959 and is headquartered in Tsurugashima, Japan.",2752.0,154773766144.0,JPY,JPX,7430.0,7510.0,yfinance,2025-10-24
9973,"KOZO Holdings Co.,Ltd.",KOZO HOLDINGS CO LTD,Consumer Cyclical,Restaurants,Japan,https://kozohd.co.jp,"KOZO Holdings Co.,Ltd. engages in the retail, food and beverage, and distribution businesses. It operates and franchises Kozo Sushi chain. The company was formerly was Kozosushi Co., LTD. and changed its name to KOZO Holdings Co.,Ltd. in June 2024. KOZO Holdings Co.,Ltd. was founded in 1964 and is headquartered in Tokyo, Japan",338.0,7070747136.0,JPY,JPX,24.0,25.0,yfinance,2025-10-24
